dataset,method,l1,experiment,status,source,ours_nDCG@10,paper_nDCG@10,diff_nDCG@10,ours_nDCG@20,paper_nDCG@20,diff_nDCG@20,ours_R@1000,paper_R@1000,diff_R@1000
CODEC,LSR-w,1e-5,qmlp_dmlm_codec_msmarco_pretrained_inparsv2_monot53b_distillation_l1_0.0_0.00001,not run,,,52.61,,,49.22,,,69.07,
CODEC,DyVo (REL),1e-5,qmlp_dmlm_emlm_laque_codec_msmarco_pretrained_inparsv2_monot53b_distillation_l1_0.0_0.00001_entw_0.05,not run,,,53.40,,,51.15,,,70.60,
Robust04,LSR-w,1e-5,qmlp_dmlm_robust04_msmarco_pretrained_inparsv2_monot53b_distillation_l1_0.0_0.00001,not run,,,49.13,,,46.34,,,66.86,
Robust04,DyVo (REL),1e-5,qmlp_dmlm_emlm_laque_robust04_msmarco_pretrained_inparsv2_monot53b_distillation_l1_0.0_0.00001_entw_0.05,not run,,,51.19,,,47.65,,,68.56,
Core18,LSR-w,1e-5,qmlp_dmlm_wapo_msmarco_pretrained_inparsv2_monot53b_distillation_l1_0.0_0.00001,not run,,,40.99,,,38.73,,,63.22,
Core18,DyVo (REL),1e-5,qmlp_dmlm_emlm_laque_wapo_msmarco_pretrained_inparsv2_monot53b_distillation_l1_0.0_0.00001_entw_0.05,not run,,,43.72,,,40.56,,,63.56,
CODEC,LSR-w,1e-3,qmlp_dmlm_codec_msmarco_pretrained_inparsv2_monot53b_distillation_l1_0.0_0.001,not run,,,39.10,,,35.32,,,57.58,
CODEC,DyVo (REL),1e-3,qmlp_dmlm_emlm_laque_codec_msmarco_pretrained_inparsv2_monot53b_distillation_l1_0.0_0.001_entw_0.05,not run,,,42.67,,,38.32,,,59.81,
Robust04,LSR-w,1e-3,qmlp_dmlm_robust04_msmarco_pretrained_inparsv2_monot53b_distillation_l1_0.0_0.001,not run,,,40.37,,,37.23,,,55.66,
Robust04,DyVo (REL),1e-3,qmlp_dmlm_emlm_laque_robust04_msmarco_pretrained_inparsv2_monot53b_distillation_l1_0.0_0.001_entw_0.05,not run,,,41.52,,,38.62,,,56.78,
Core18,LSR-w,1e-3,qmlp_dmlm_wapo_msmarco_pretrained_inparsv2_monot53b_distillation_l1_0.0_0.001,not run,,,34.50,,,31.45,,,52.66,
Core18,DyVo (REL),1e-3,qmlp_dmlm_emlm_laque_wapo_msmarco_pretrained_inparsv2_monot53b_distillation_l1_0.0_0.001_entw_0.05,not run,,,37.50,,,34.61,,,54.14,
CODEC,LSR-w,1e-4,qmlp_dmlm_codec_msmarco_pretrained_inparsv2_monot53b_distillation_l1_0.0_0.0001,not run,,,50.54,,,46.71,,,66.39,
CODEC,DyVo (REL),1e-4,qmlp_dmlm_emlm_laque_codec_msmarco_pretrained_inparsv2_monot53b_distillation_l1_0.0_0.0001_entw_0.05,not run,,,51.66,,,47.95,,,68.49,
Robust04,LSR-w,1e-4,qmlp_dmlm_robust04_msmarco_pretrained_inparsv2_monot53b_distillation_l1_0.0_0.0001,not run,,,47.69,,,44.48,,,64.47,
Robust04,DyVo (REL),1e-4,qmlp_dmlm_emlm_laque_robust04_msmarco_pretrained_inparsv2_monot53b_distillation_l1_0.0_0.0001_entw_0.05,not run,,,48.15,,,44.85,,,64.72,
Core18,LSR-w,1e-4,qmlp_dmlm_wapo_msmarco_pretrained_inparsv2_monot53b_distillation_l1_0.0_0.0001,not run,,,38.94,,,37.37,,,60.44,
Core18,DyVo (REL),1e-4,qmlp_dmlm_emlm_laque_wapo_msmarco_pretrained_inparsv2_monot53b_distillation_l1_0.0_0.0001_entw_0.05,not run,,,43.10,,,39.46,,,60.43,
CODEC,DyVo (GPT4),1e-5,qmlp_dmlm_emlm_laque_codec_msmarco_pretrained_inparsv2_monot53b_distillation_l1_0.0_0.00001_entw_0.05_gpt4,not run,,,56.46,,,53.72,,,74.47,
CODEC,DyVo (Mixtral),1e-5,qmlp_dmlm_emlm_laque_codec_msmarco_pretrained_inparsv2_monot53b_distillation_l1_0.0_0.00001_entw_0.05_mistral,not run,,,54.90,,,52.82,,,73.20,
CODEC,DyVo (BM25),1e-5,qmlp_dmlm_emlm_laque_codec_msmarco_pretrained_inparsv2_monot53b_distillation_l1_0.0_0.00001_entw_0.05_bm25,not run,,,53.25,,,49.80,,,69.83,
CODEC,DyVo (LaQue),1e-5,qmlp_dmlm_emlm_laque_codec_msmarco_pretrained_inparsv2_monot53b_distillation_l1_0.0_0.00001_entw_0.05_laquecand,not run,,,53.73,,,50.34,,,70.87,
CODEC,DyVo (Human),1e-5,qmlp_dmlm_emlm_laque_codec_msmarco_pretrained_inparsv2_monot53b_distillation_l1_0.0_0.00001_entw_0.05_human,not run,,,56.42,,,52.96,,,75.13,
Robust04,DyVo (GPT4),1e-5,qmlp_dmlm_emlm_laque_robust04_msmarco_pretrained_inparsv2_monot53b_distillation_l1_0.0_0.00001_entw_0.05_gpt4,not run,,,54.39,,,50.89,,,70.86,
Robust04,DyVo (Mixtral),1e-5,qmlp_dmlm_emlm_laque_robust04_msmarco_pretrained_inparsv2_monot53b_distillation_l1_0.0_0.00001_entw_0.05_mistral,not run,,,52.97,,,49.21,,,69.28,
Robust04,DyVo (BM25),1e-5,qmlp_dmlm_emlm_laque_robust04_msmarco_pretrained_inparsv2_monot53b_distillation_l1_0.0_0.00001_entw_0.05_bm25,not run,,,51.38,,,47.72,,,67.74,
Robust04,DyVo (LaQue),1e-5,qmlp_dmlm_emlm_laque_robust04_msmarco_pretrained_inparsv2_monot53b_distillation_l1_0.0_0.00001_entw_0.05_laquecand,not run,,,49.42,,,46.31,,,68.25,
Core18,DyVo (GPT4),1e-5,qmlp_dmlm_emlm_laque_wapo_msmarco_pretrained_inparsv2_monot53b_distillation_l1_0.0_0.00001_entw_0.05_gpt4,not run,,,43.06,,,42.25,,,68.57,
Core18,DyVo (Mixtral),1e-5,qmlp_dmlm_emlm_laque_wapo_msmarco_pretrained_inparsv2_monot53b_distillation_l1_0.0_0.00001_entw_0.05_mistral,not run,,,43.80,,,41.86,,,68.27,
Core18,DyVo (BM25),1e-5,qmlp_dmlm_emlm_laque_wapo_msmarco_pretrained_inparsv2_monot53b_distillation_l1_0.0_0.00001_entw_0.05_bm25,not run,,,42.48,,,38.89,,,64.58,
Core18,DyVo (LaQue),1e-5,qmlp_dmlm_emlm_laque_wapo_msmarco_pretrained_inparsv2_monot53b_distillation_l1_0.0_0.00001_entw_0.05_laquecand,not run,,,40.24,,,38.39,,,64.83,
CODEC,DyVo (GPT4) Token Aggr.,1e-5,qmlp_dmlm_emlm_bert_codec_msmarco_pretrained_inparsv2_monot53b_distillation_l1_0.0_0.00001_entw_0.05_gpt4,not run,,,53.44,,,50.39,,,69.94,
CODEC,DyVo (GPT4) DPR,1e-5,qmlp_dmlm_emlm_dpr_codec_msmarco_pretrained_inparsv2_monot53b_distillation_l1_0.0_0.00001_entw_0.05_gpt4,not run,,,53.04,,,49.18,,,75.19,
CODEC,DyVo (GPT4) JDS,1e-5,qmlp_dmlm_emlm_jds_codec_msmarco_pretrained_inparsv2_monot53b_distillation_l1_0.0_0.00001_entw_0.05_gpt4,not run,,,55.08,,,50.93,,,73.97,
